dose,defocus_nm,cd_nm,cd_m
0.7,-300.0,56.00000000000001,5.6000000000000005e-08
0.7,-240.0,120.00000000000001,1.2000000000000002e-07
0.7,-180.0,136.0,1.36e-07
0.7,-120.0,140.0,1.4e-07
0.7,-60.0,144.00000000000003,1.4400000000000002e-07
0.7,0.0,148.0,1.48e-07
0.7,60.0,144.00000000000003,1.4400000000000002e-07
0.7,120.0,140.0,1.4e-07
0.7,180.0,136.0,1.36e-07
0.7,240.0,120.00000000000001,1.2000000000000002e-07
0.7,300.0,56.00000000000001,5.6000000000000005e-08
0.85,-300.0,0.0,0.0
0.85,-240.0,60.00000000000001,6.000000000000001e-08
0.85,-180.0,100.00000000000001,1.0000000000000001e-07
0.85,-120.0,108.0,1.08e-07
0.85,-60.0,116.0,1.16e-07
0.85,0.0,120.00000000000001,1.2000000000000002e-07
0.85,60.0,116.0,1.16e-07
0.85,120.0,108.0,1.08e-07
0.85,180.0,100.00000000000001,1.0000000000000001e-07
0.85,240.0,60.00000000000001,6.000000000000001e-08
0.85,300.0,0.0,0.0
1.0,-300.0,0.0,0.0
1.0,-240.0,48.00000000000001,4.8000000000000006e-08
1.0,-180.0,76.0,7.6e-08
1.0,-120.0,92.0,9.2e-08
1.0,-60.0,100.00000000000001,1.0000000000000001e-07
1.0,0.0,100.00000000000001,1.0000000000000001e-07
1.0,60.0,100.00000000000001,1.0000000000000001e-07
1.0,120.0,92.0,9.2e-08
1.0,180.0,76.0,7.6e-08
1.0,240.0,48.00000000000001,4.8000000000000006e-08
1.0,300.0,0.0,0.0
1.15,-300.0,0.0,0.0
1.15,-240.0,0.0,0.0
1.15,-180.0,52.0,5.2e-08
1.15,-120.0,76.0,7.6e-08
1.15,-60.0,92.0,9.2e-08
1.15,0.0,92.0,9.2e-08
1.15,60.0,92.0,9.2e-08
1.15,120.0,76.0,7.6e-08
1.15,180.0,52.0,5.2e-08
1.15,240.0,0.0,0.0
1.15,300.0,0.0,0.0
1.3,-300.0,0.0,0.0
1.3,-240.0,0.0,0.0
1.3,-180.0,28.000000000000004,2.8000000000000003e-08
1.3,-120.0,68.0,6.8e-08
1.3,-60.0,76.0,7.6e-08
1.3,0.0,84.00000000000001,8.400000000000001e-08
1.3,60.0,76.0,7.6e-08
1.3,120.0,68.0,6.8e-08
1.3,180.0,28.000000000000004,2.8000000000000003e-08
1.3,240.0,0.0,0.0
1.3,300.0,0.0,0.0
