site_id,x_center_mm,y_center_mm,n_points,tilt_urad,standoff_um,loss_angular_db,loss_lateral_db,loss_gap_db,loss_total_db
10,-60.0,-20.0,169,959.0522820133785,12.26843803162322,0.0004437229725595516,0.5909111454192637,0.21872471376109484,0.8100795821529181
11,-60.0,-10.0,169,912.5387533953997,10.227110146962412,0.00040172603802811406,0.5349833295910241,0.1760794217108466,0.7114644773398988
12,-60.0,0.0,156,883.4424606459265,9.223415515237543,0.00037651638926023025,0.5014113413229425,0.15598827509975702,0.6577761328119598
13,-60.0,10.0,169,852.8753685826313,9.271462621496735,0.00035091221953491655,0.4673139648165598,0.15693667177631074,0.6246015488124055
14,-60.0,20.0,169,844.8765561061504,10.296081379048724,0.0003443609254609457,0.45858952879536874,0.1774814699413815,0.6364153596622112
20,-50.0,-40.0,156,917.6745383114289,11.026775863077809,0.00040626060562244654,0.5410220670395083,0.19250285478340837,0.733931182428539
21,-50.0,-30.0,156,862.8790100743912,6.8657924706191595,0.000359192414879825,0.47834079916622474,0.11112953738070039,0.589829528961805
22,-50.0,-20.0,156,792.1954343334244,3.8426075943334492,0.00030275548350367073,0.40318306827151446,0.058538741709981246,0.46202456546499937
23,-50.0,-10.0,156,755.9996984426323,1.9727301202296377,0.00027572147437906434,0.36718155767820826,0.028869669091440703,0.39632694824402803
24,-50.0,0.0,144,723.2159433107778,1.1814561000237023,0.0002523267714166376,0.33602655426576794,0.016987162723371974,0.35326604376055654
25,-50.0,10.0,156,710.2284511201318,1.4617069419089883,0.00024334558940827068,0.32406620766218813,0.021149532696927015,0.34545908594852337
26,-50.0,20.0,156,704.5971683913696,2.7019409147449673,0.00023950199462362016,0.31894764689977334,0.040175780266475114,0.3593629291608721
27,-50.0,30.0,156,709.4851215507256,4.918177598345339,0.00024283648191276598,0.3233882231720572,0.07660229572340982,0.40023335537737975
28,-50.0,40.0,156,723.656482643061,8.081356557073155,0.000252634269403521,0.33643605298203977,0.13384517793592152,0.47053386518736484
32,-40.0,-50.0,156,860.4602357512576,9.34561330488732,0.00035718150098196526,0.4756628412776138,0.15840297408498286,0.6344229968635786
33,-40.0,-40.0,169,783.1348716554397,4.0321000400845755,0.0002958696876216472,0.39401317222511656,0.06166870215392109,0.45597774406665925
34,-40.0,-30.0,169,699.8591813072145,-0.013836026878080524,0.00023629181402219662,0.31467261131789276,-0.000193545024557068,0.31471535810735785
35,-40.0,-20.0,169,644.288474874948,-2.901065470962852,0.0002002571693117583,0.2666848475611639,-0.03781460077862975,0.22907050395184592
36,-40.0,-10.0,169,591.1231814826332,-4.629954348423507,0.000168571181036865,0.22448824115772661,-0.057669182125442586,0.1669876302133209
37,-40.0,0.0,156,566.1297324021834,-5.236508354902695,0.00015461772388055794,0.20590625676500865,-0.06415346388207166,0.14190741060681755
38,-40.0,10.0,169,560.9468648335323,-4.790994697526767,0.0001517996596225708,0.2021534071684537,-0.05941526205303328,0.14288994477504297
39,-40.0,20.0,169,564.725977780962,-3.3274597850097636,0.00015385190557723995,0.20488640744734474,-0.04289910117629109,0.16214115817663088
40,-40.0,30.0,169,586.530805977237,-0.8676739395244352,0.00016596213077037244,0.2210137379726957,-0.011894275397690224,0.20928542470577585
41,-40.0,40.0,169,620.5604438663909,2.5250857464171776,0.0001857785315511519,0.24740347392869483,0.03740253637905869,0.28499178883930465
42,-40.0,50.0,156,663.9140786355533,6.826256538303955,0.00021264300648394526,0.2831792138279706,0.11040564101264869,0.3937974978471033
46,-30.0,-50.0,156,744.3586524127273,3.942993824241915,0.00026729561214520895,0.3559607370048225,0.06019407615302022,0.416422108769988
47,-30.0,-40.0,169,647.2161068739716,-1.300324759461026,0.00020208123210238913,0.2691139736140947,-0.017639734141475696,0.25167632070472146
48,-30.0,-30.0,169,555.0785716534798,-5.262880066013911,0.00014864019684017343,0.19794591310771878,-0.06442968042208784,0.1336648728824711
49,-30.0,-20.0,169,487.779058556656,-8.040440422052045,0.00011478196356480966,0.1528565022728252,-0.09083762766726361,0.06213365656912642
50,-30.0,-10.0,169,440.7279303635908,-9.62082730343937,9.370623648330089e-05,0.124789706545663,-0.10346718769912752,0.021416225083018783
51,-30.0,0.0,156,420.98401922735826,-10.124060721049199,8.549851424643798e-05,0.11385938549356354,-0.1071204822306496,0.006824401777160385
52,-30.0,10.0,169,414.2547777175337,-9.524728808247884,8.278704850255259e-05,0.11024849440257009,-0.10274926577330158,0.007582015677771059
53,-30.0,20.0,169,438.4343898014394,-7.86850210925902,9.273348289995137e-05,0.12349427906118533,-0.08935821440035369,0.0342287981437316
54,-30.0,30.0,169,483.35435612180805,-5.250671604696143,0.00011270900646450796,0.15009592071564687,-0.06430186855825129,0.08590676116386009
55,-30.0,40.0,169,539.980030597916,-1.653229141970656,0.0001406639296611855,0.18732382350140867,-0.022234342325817835,0.16523014510525202
56,-30.0,50.0,156,594.5583497487669,2.8716243494096387,0.0001705360944526305,0.2271049396587353,0.04285526993486913,0.27013074568805706
60,-20.0,-60.0,169,771.4783978752841,6.737625346261515,0.00028712756469318385,0.3823711834336504,0.10878625556834173,0.49144456656668534
61,-20.0,-50.0,156,655.8361544873767,0.22990309821669677,0.00020749997875530005,0.27633018280186356,0.003234322179063498,0.27977200495968235
62,-20.0,-40.0,169,541.0643796283824,-4.966423006888207,0.00014122943925699432,0.18807691933748263,-0.06129720027779628,0.12692094849894334
