noise,repeat,warp_um,bow_um,sfqr_max_nm,sfqr_mean_nm,rms_error_nm
0.002,1,41.09627690488075,-16.820594306599457,930.8232470448264,475.4574165542964,7.050295048356618
0.002,2,41.10164344130807,-16.817353398126315,906.762348608202,473.9489602872802,7.066480501021743
0.002,3,41.09351235993308,-16.817641117067122,913.5870037121133,475.07184116907104,7.008290484539778
0.002,4,41.0911993055788,-16.820764480998697,897.01988795884,473.85931640588245,7.019831807097145
0.005,1,41.12669566914253,-16.814017829166346,928.8127139431273,490.79027742978536,17.74911724702416
0.005,2,41.14113327131242,-16.813045344185607,948.3555368572288,493.03267576267604,17.543212718658083
0.005,3,41.11708340370062,-16.80466289704018,928.9402049501425,490.3271761735345,17.59861811844355
0.005,4,41.093649268844906,-16.820282083888717,922.2182075430522,493.4464731227434,17.69664238949206
0.01,1,41.185827424821746,-16.804563688560926,872.4294801691856,530.3920481016993,35.11323991062705
0.01,2,41.179083982678414,-16.866961370960755,970.3633553760931,526.8966921643231,35.474178790549516
0.01,3,41.13241612980378,-16.789597896067963,876.6539211652812,528.6316153907077,35.66913067524261
0.01,4,41.21635306845963,-16.824925887665962,961.523110663925,530.8851491738677,35.39552169939049
0.02,1,41.353456143671636,-16.85736949561613,1058.2269705135654,624.1186864256156,70.3803265566311
0.02,2,41.324005312323784,-16.811786458078554,1072.7786646061134,629.7624987373449,70.0384921554922
0.02,3,41.30841081878382,-16.825536303251983,1055.41156170042,630.9361812425245,70.53563839548885
0.02,4,41.22003401821205,-16.78071250500591,1062.6442501883362,634.91878422553,70.50682519050152
0.05,1,41.45414304026344,-16.791175627986195,1431.5505239604931,1042.7406399453432,176.16673385109962
0.05,2,41.30922892910125,-16.779746052186947,1433.5368102493524,1039.1712858536546,174.4822990006407
0.05,3,41.662358415737025,-16.80021665500934,1272.1975474685905,1025.851636468476,177.10389954858695
0.05,4,41.60407799067321,-17.012944987043408,1329.468996063582,1038.2733295055612,175.17912571195092
