site_id,ix,iy,x_center_mm,y_center_mm,n_points,complete,sfqr_nm,sfqr
0,-6,-2,-150.00000000000003,-50.0,30,False,100.81737596997044,1.0081737596997044e-07
1,-6,-1,-150.00000000000003,-25.0,135,False,323.13763113288013,3.2313763113288015e-07
2,-6,0,-150.00000000000003,0.0,176,False,261.08383922813846,2.6108383922813843e-07
3,-6,1,-150.00000000000003,25.0,135,False,285.6118848105485,2.8561188481054847e-07
4,-6,2,-150.00000000000003,50.0,30,False,92.73902572796847,9.273902572796847e-08
5,-5,-4,-125.0,-100.0,13,False,9.64940657656151,9.64940657656151e-09
6,-5,-3,-125.0,-75.00000000000001,254,False,425.1751931829014,4.251751931829014e-07
7,-5,-2,-125.0,-50.0,429,False,508.8236147348735,5.088236147348735e-07
8,-5,-1,-125.0,-25.0,441,True,463.6771564984349,4.636771564984349e-07
9,-5,0,-125.0,0.0,462,True,460.70864436788264,4.607086443678826e-07
10,-5,1,-125.0,25.0,441,True,536.6156764004152,5.366156764004151e-07
11,-5,2,-125.0,50.0,429,False,513.9140845562026,5.139140845562026e-07
12,-5,3,-125.0,75.00000000000001,254,False,314.52234955164437,3.145223495516444e-07
13,-5,4,-125.0,100.0,13,False,14.51844516722582,1.4518445167225821e-08
14,-4,-5,-100.0,-125.0,13,False,11.414061488990937,1.1414061488990938e-08
15,-4,-4,-100.0,-100.0,332,False,373.88285533860403,3.7388285533860406e-07
16,-4,-3,-100.0,-75.00000000000001,462,True,457.3583620082395,4.573583620082395e-07
17,-4,-2,-100.0,-50.0,441,True,442.9379051962908,4.4293790519629077e-07
18,-4,-1,-100.0,-25.0,441,True,465.00201049409645,4.6500201049409643e-07
19,-4,0,-100.0,0.0,462,True,554.3105432735998,5.543105432735999e-07
20,-4,1,-100.0,25.0,441,True,512.9720735398647,5.129720735398647e-07
21,-4,2,-100.0,50.0,441,True,612.3882707210083,6.123882707210083e-07
22,-4,3,-100.0,75.00000000000001,462,True,575.9828364999029,5.759828364999028e-07
23,-4,4,-100.0,100.0,332,False,385.6713962735285,3.856713962735285e-07
24,-4,5,-100.0,125.0,13,False,14.386240311113802,1.4386240311113803e-08
25,-3,-5,-75.00000000000001,-125.0,254,False,275.4118983850219,2.754118983850219e-07
26,-3,-4,-75.00000000000001,-100.0,462,True,402.3571927586479,4.023571927586479e-07
27,-3,-3,-75.00000000000001,-75.00000000000001,484,True,480.0523791938325,4.800523791938325e-07
28,-3,-2,-75.00000000000001,-50.0,462,True,518.0866763761704,5.180866763761704e-07
29,-3,-1,-75.00000000000001,-25.0,462,True,470.01023146750214,4.7001023146750216e-07
30,-3,0,-75.00000000000001,0.0,484,True,544.602864341185,5.446028643411849e-07
31,-3,1,-75.00000000000001,25.0,462,True,471.25863082057936,4.7125863082057937e-07
32,-3,2,-75.00000000000001,50.0,462,True,541.8128902173313,5.418128902173313e-07
33,-3,3,-75.00000000000001,75.00000000000001,484,True,644.9939983301,6.449939983301e-07
34,-3,4,-75.00000000000001,100.0,462,True,568.7495611031803,5.687495611031803e-07
35,-3,5,-75.00000000000001,125.0,254,False,359.82905001398416,3.5982905001398415e-07
36,-2,-6,-50.0,-150.00000000000003,30,False,59.3571327054147,5.93571327054147e-08
37,-2,-5,-50.0,-125.0,429,False,354.632351258152,3.5463235125815203e-07
38,-2,-4,-50.0,-100.0,441,True,406.99594690588816,4.069959469058882e-07
39,-2,-3,-50.0,-75.00000000000001,462,True,404.7758201838306,4.047758201838306e-07
40,-2,-2,-50.0,-50.0,441,True,406.1258428121866,4.061258428121866e-07
41,-2,-1,-50.0,-25.0,441,True,453.6515677172918,4.536515677172918e-07
42,-2,0,-50.0,0.0,462,True,490.81193737097846,4.908119373709784e-07
43,-2,1,-50.0,25.0,441,True,442.356720938941,4.42356720938941e-07
44,-2,2,-50.0,50.0,441,True,505.28537208412723,5.052853720841272e-07
45,-2,3,-50.0,75.00000000000001,462,True,581.5472748156212,5.815472748156212e-07
46,-2,4,-50.0,100.0,441,True,568.7500163766404,5.687500163766403e-07
47,-2,5,-50.0,125.0,429,False,517.2710796346055,5.172710796346055e-07
